Gasproduction,GasPresure,aantal bevingen
20.82,58,10
20.62,59,6
24.08,59,16
24.18,60,8
23.88,60,14
22.45,60,13
18.56,61,9
19.46,61,6
21.49,62,11
21.88,62,9
22.98,63,9
26.83,63,8
26.72,63,7
23.68,64,1
23.18,64,10
24.81,65,8
21.90,65,7
22.15,66,4
14.73,66,12
17.05,66,4
17.47,67,16
22.88,67,17
23.48,68,11
25.69,68,8
21.55,69,5
21.16,69,6
26.85,69,11
46.13,70,11
52.82,70,5
42.90,71,6
31.95,71,1
22.98,72,8
22.00,72,5
21.19,72,8
23.34,73,4
32.49,73,4
32.54,74,9
40.99,74,13
45.23,75,8
55.66,75,9
62.17,75,5
53.85,76,5
36.01,76,9
30.05,77,11
28.71,77,8
31.06,78,11
32.68,78,13
41.78,79,13
50.08,79,8
60.06,79,5
53.79,80,20
58.44,80,11
52.27,81,3
52.03,81,10
38.69,81,4
22.39,82,3
20.78,82,11
22.87,83,11
24.76,83,10
28.15,84,8
38.15,84,8
49.81,85,9
65.18,85,8
62.74,85,10
57.39,86,4
48.43,86,7
34.00,87,3
21.81,87,6
21.29,88,7
23.03,88,5
22.33,88,12
24.66,89,17
32.27,89,6
55.89,90,6
59.08,90,1
67.76,91,6
73.82,91,4
54.19,91,2
40.53,92,3
22.65,92,1
18.86,93,3
17.19,93,2
22.00,94,6
31.09,94,9
36.10,94,3
56.44,95,2
64.96,95,2
70.75,96,2
