Date in days from 1900,Gaspresure test
22007,347
22952,346
22981,344
29907,215
29910,220
29913,217
29927,215
30000,213
30001,220
30007,229
30021,212
30026,212
30027,211
30028,212
30034,214
30035,220
30039,209
30040,234
30041,211
30046,210
30049,212
30055,209
30063,223
30064,229
30077,228
30078,210
30081,221
30082,212
30088,229
30095,211
30096,212
30097,218
30098,213
30099,212
30103,210
30119,213
30123,216
30127,214
30146,230
30152,215
30154,286
30155,215
30167,221
30174,214
30181,230
30190,220
30193,212
30201,213
30202,212
30203,216
30210,213
30216,214
30218,214
30221,220
30224,212
30228,213
30235,222
30237,213
30250,213
30251,214
30252,216
30259,213
30260,221
30274,215
30279,250
30280,235
30320,227
30335,284
30336,214
30347,216
30354,229
30365,212
30370,209
30372,207
30379,214
30385,208
30392,210
30393,208
30400,207
30403,213
30406,211
30411,231
30412,215
30414,206
30417,208
30419,209
30420,230
30421,207
30427,210
30445,223
30449,220
30452,207
30454,207
30461,209
30477,210
30487,207
30494,213
30515,245
30526,211
30530,209
30539,214
30546,212
30547,208
30551,219
30553,208
30560,209
30565,211
30566,214
30572,209
30574,209
30581,208
30582,210
30587,222
30588,209
30592,214
30594,209
30603,211
30612,210
30617,208
30623,212
30629,208
30631,207
30634,207
30644,227
30649,242
30686,222
30691,280
30713,217
30721,209
30742,204
30750,205
30756,201
30757,206
30767,203
30774,201
30776,205
30778,201
30781,201
30784,203
30785,207
30806,205
30809,211
30812,206
30813,200
30820,201
30825,200
30834,200
30845,209
30846,209
30847,200
30851,204
30852,203
30865,203
30874,204
30889,203
30903,211
30907,212
30911,202
30917,201
30921,208
30925,200
30929,202
30932,201
30939,201
30945,209
30950,212
30951,202
30952,247
30956,203
30958,200
30966,203
30972,214
30986,201
30987,200
30988,207
30995,201
31021,211
31023,203
31044,235
31055,207
31062,202
31069,216
31082,215
31104,201
31117,193
31120,191
31127,195
31128,195
31133,214
31134,194
31140,207
31141,205
31146,195
31149,193
31152,200
31153,205
31154,197
31155,191
31159,203
31166,196
31177,210
31182,199
31184,186
31205,194
31211,196
31217,197
31222,190
31223,208
31226,194
31229,199
31231,197
31238,211
31239,216
31258,199
31274,205
31281,191
31282,202
31289,204
31292,195
31299,198
31306,205
31309,206
31310,200
31317,195
31322,195
31324,217
31327,197
31329,211
31330,191
31482,209
31483,190
31489,190
31490,183
31492,191
31495,206
31496,197
31498,201
31512,190
31520,183
31523,199
31526,182
31539,196
31541,188
31548,191
31554,187
31567,199
31568,189
31575,192
31581,193
31586,187
31588,195
31589,196
31595,190
31601,190
31602,194
31604,207
31611,195
31625,188
31629,191
31642,188
31649,210
31652,203
31659,188
31664,187
31672,198
31680,203
31681,193
31691,212
31698,187
31707,187
31708,195
31765,188
31805,200
31806,190
31818,204
31824,185
31905,201
31915,184
31931,186
31932,191
31945,189
31953,190
31957,188
31961,193
31974,189
31987,187
31993,197
31994,193
32013,191
32021,201
32023,186
32037,188
32051,186
32055,187
32056,188
32057,186
32063,186
32065,194
32072,194
32078,195
32149,220
32153,201
32177,218
32204,186
32226,185
32227,189
32240,185
32247,183
32248,191
32253,196
32254,189
32258,200
32259,198
32265,191
32266,196
32267,186
32280,195
32286,186
32289,185
32295,184
32296,185
32301,189
32309,191
32422,185
32428,193
32429,185
32436,186
32441,192
32442,186
32449,185
32458,185
32525,194
32533,186
32534,213
32541,185
32542,198
32576,183
32583,186
32587,191
32611,188
32624,184
32625,184
32631,184
32633,191
32638,190
32661,191
32666,185
32667,184
32673,185
32674,190
32681,183
32688,187
32696,183
32700,183
32701,184
32702,183
32708,184
32710,192
32715,184
32723,186
32737,188
32744,194
32751,184
32764,184
32765,184
32771,183
32772,183
32773,196
32779,184
32786,183
32790,183
32794,184
32806,186
32807,185
32814,183
32821,187
32849,175
32853,176
32856,175
32911,183
32923,196
32927,200
32938,187
32944,182
32946,181
32947,191
32955,184
32968,182
32974,189
32975,184
32982,183
32989,182
32996,179
33001,188
33003,182
33022,187
33024,180
33039,182
33051,181
33052,182
33063,182
33073,182
33077,180
33080,184
33086,181
33093,182
33095,181
33106,181
33107,184
33108,183
33115,183
33121,182
33129,181
33134,181
33135,186
33136,183
33140,178
33149,182
33150,183
33158,190
33163,225
33164,181
33171,182
33179,180
33196,183
33211,180
33274,181
33277,204
33281,194
33284,178
33295,176
33304,176
33309,189
33337,184
33338,180
33365,182
33366,184
33373,183
33374,187
33403,180
33406,177
33408,174
33409,177
33410,177
33416,186
33422,180
33435,177
33436,177
33438,175
33444,175
33451,176
33457,176
33470,174
33483,174
33484,183
33486,181
33487,178
33491,180
33492,176
33493,177
33499,222
33500,177
33507,174
33512,175
33513,177
33529,178
33535,181
33549,177
33550,173
33577,255
33581,172
33582,172
33590,174
33674,172
33675,186
33695,169
33718,175
33721,181
33732,183
33737,183
33809,172
33815,172
33816,170
33819,171
33821,174
33833,170
33848,171
33849,186
33850,170
33857,174
33861,187
33863,180
33868,171
33869,171
33870,171
33875,168
33882,176
33885,175
33899,172
33906,176
33913,170
33914,168
33918,169
33919,167
33920,219
33928,173
33934,174
33945,252
33948,168
33982,167
33991,172
33997,182
34002,171
34032,167
34058,172
34079,177
34094,180
34102,175
34122,167
34123,175
34131,167
34137,168
34141,165
34148,183
34149,163
34152,194
34155,165
34156,163
34159,168
34163,163
34170,170
34177,172
34178,163
34180,168
34187,169
34190,171
34191,165
34198,163
34199,170
34205,251
34211,163
34212,166
34225,164
34232,183
34233,176
34236,182
34246,166
34253,166
34254,215
34255,165
34261,165
34263,165
34270,176
34277,166
34281,165
34282,169
34340,168
34352,174
34373,176
34375,179
34382,161
34394,166
34457,163
34463,170
34487,161
34492,161
34494,162
34498,161
34500,181
34502,173
34513,162
34515,190
34516,162
34519,213
34530,162
34536,163
34544,161
34547,161
34551,163
34554,160
34555,174
34563,163
34565,162
34569,163
34579,163
34586,161
34597,164
34600,171
34604,212
34617,162
34625,161
34634,161
34639,165
34640,166
34642,164
34645,165
34653,162
34662,161
34663,161
34676,162
34716,181
34717,173
34718,159
34746,158
34765,162
34772,174
34780,168
34781,171
34822,158
34827,161
34836,160
34843,161
34858,159
34876,222
34878,174
34886,160
34891,173
34893,158
34913,162
34914,162
34921,209
34928,185
34932,158
34943,160
34954,160
34956,173
34960,179
34976,160
34983,164
34990,161
35004,161
35122,164
35129,244
35145,155
35156,153
35186,153
35188,155
35191,154
35226,157
35229,155
35250,167
35299,161
35307,157
35312,156
35314,155
35334,154
35339,155
35345,164
35346,153
35355,156
35359,153
35369,153
35383,158
35479,152
35507,152
35524,147
35542,156
35543,148
35548,149
35562,242
35564,175
35571,159
35574,153
35576,176
35578,151
35580,150
35606,155
35618,147
35625,150
35646,167
35676,152
35677,153
35683,153
35695,149
35698,149
35710,149
35711,155
35892,150
35899,145
35977,147
35982,155
35993,150
36046,148
36053,151
36108,147
36111,144
36116,166
36117,145
36118,151
36118,145
36119,146
36126,144
36132,169
36217,162
36224,164
36230,142
36231,165
36236,146
36242,163
36245,146
36251,143
36257,238
36262,144
36264,148
36271,172
36301,147
36416,148
36418,148
36419,143
36432,149
36439,153
36446,143
36453,151
36462,143
36467,146
36467,147
36607,138
36614,143
36623,143
36630,139
36642,142
36657,143
36663,143
36665,141
36726,142
36733,146
36808,141
36810,145
36815,145
36822,159
36824,157
36830,147
36846,187
36850,146
36852,152
36858,163
36872,234
36878,139
36928,160
36931,136
36934,137
36959,136
36964,140
36983,140
37001,144
37001,161
37144,154
37186,160
37207,142
37207,137
37210,136
37228,137
37322,133
37340,136
37351,165
37390,232
37400,139
37405,138
37411,152
37411,136
37505,135
37522,141
37546,137
37585,136
37641,132
37721,134
37739,140
37746,132
37763,163
37764,132
37860,138
37873,134
37886,133
37888,135
37893,134
37903,141
38033,127
38082,153
38084,127
38266,129
38267,130
38384,129
38435,124
38441,126
38463,122
38464,119
38523,125
38525,186
38537,132
38755,226
38784,120
38785,120
38800,122
38803,120
38807,120
38828,118
38832,118
38846,118
38852,124
38859,124
38888,128
38939,119
38979,123
38993,122
38999,143
39002,142
39006,122
39119,139
39154,138
39156,141
39183,152
39185,118
39196,118
39206,117
39216,121
39251,118
39364,126
39478,117
39497,126
39514,129
39546,126
39602,119
39623,118
39696,113
39723,117
39840,114
39861,136
39862,124
39882,110
39939,114
39975,139
39981,108
40036,109
40049,143
40064,115
40086,117
40323,102
40329,104
40331,107
40338,101
40346,108
40463,113
40582,100
40590,111
40633,129
40679,100
40732,97
40751,103
40778,101
40820,108
40836,124
40854,97
40947,121
40949,102
41019,93
41037,135
41051,90
41054,95
41087,91
41109,90
41110,91
41148,91
41150,91
41339,128
41344,84
41351,84
41361,88
41373,110
41380,105
41410,92
41458,90
41472,88
41905,96
41925,78
41939,78
41948,109
41975,72
41978,72
41982,71
